name,address
San Juan National High School,"Libmanan, Camarines Sur"
Don Vicente Rama Memorial National High School,Cebu City
Naga City School of Arts and Trades,Naga City
Instituto de Caceres,San Jose Camarines Sur
Elianor P. Lelis Senior High School,"Tigaon, Camarines Sur"
Philippines Science High School,Bicol Region Campus
Panganiban National High School,"Jose Panganiban, Camarines Norte"
Pontevedra National High School,"Tacas, Pontevedra, Capiz"
